latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,condition
0.06822105,-0.57571006,-1.073205,-0.040266544,-1.555269,0.30856612,0.6499767,-1.425013,-0.71567523,0.11691493,-1.8043454,1.3602662,1.0262246,-0.36088848,1.4898552,-1.4258655,-0.18602818,-0.37912464,0.87694055,-0.78944016,0.14187984,1.8138802,0.9016689,1.1788085,-0.53300333,0.23059863,-0.22162579,0.71197927,0.066423126,1.3475327,0.04693585,-1.5108844,CKD
-1.0688974,-0.77692866,-0.8755177,-0.17709804,-1.9471437,-0.3171965,-0.4413786,-1.5046555,-1.7048305,0.00846763,-1.8623644,1.4518706,1.9564637,-0.8669141,1.6113821,-1.7614229,-0.7288687,0.3292281,1.5051196,-0.71495664,-0.4338712,1.8227012,1.4409018,0.5119604,-0.45918152,0.00770963,-0.43217328,1.9447275,0.01919903,1.7653952,0.16686621,-2.8459132,CKD
-2.6554656,-0.20442152,0.37369218,-0.18103008,0.2680358,-0.6043335,-0.8559814,-0.31904107,-1.6758733,0.98204345,-0.3685132,1.3977954,1.0869751,0.11757323,1.4444021,-0.079281494,-0.3870925,1.2127022,0.786921,0.19981441,0.25385076,-0.22311401,0.8498821,-0.80563515,-0.5462097,-0.43657422,-0.71280533,2.2928953,0.9160391,0.85977536,1.3041985,-2.651211,Normal
-1.859041,-2.1273952,0.32536685,3.0238743,0.37896344,-2.869202,3.1858444,1.607785,-1.7460312,-1.8526707,0.7954797,0.54962057,-3.280541,-1.089316,1.8055841,-3.4800382,1.2371546,0.73719156,-0.01499176,3.044829,1.1836239,2.9608047,1.1109879,4.2225986,-3.036937,0.53534156,3.8997493,3.347934,-4.163345,4.9539647,3.2163036,0.33442,AKI
-0.40812343,-1.6914587,-0.9090266,0.07134156,-1.2033294,-1.5874141,-0.08928405,0.038704686,-1.3794482,-0.9798248,-1.3036957,0.99237347,1.3348278,-0.59151566,0.7906725,-2.026164,0.44907713,0.52218765,1.8859551,0.5189224,-0.01757067,1.948787,1.1626788,0.88776994,-0.5176255,0.0002118051,0.099608295,1.4477866,-1.8928292,2.2330825,0.5052142,-1.9526954,CKD
0.25840938,-1.0122397,-0.8715836,-0.21008246,0.25522238,-1.2088199,0.33301875,1.1618141,-0.13407019,-0.9156406,0.20275655,0.7897979,-0.14698035,0.2139346,-0.11825397,-1.347733,1.1307567,0.07337174,1.5089351,0.9157632,1.0523053,1.1051912,0.25144255,0.8149679,-0.19015086,0.36282223,0.9906266,0.011637898,-1.8322729,1.7348858,0.21986827,-0.18237677,CKD
1.4297187,0.76713395,-0.65373886,-0.12944867,-0.46277225,0.66999316,-0.286711,-0.24364302,-0.29454845,0.3711603,-0.5468609,0.661744,-0.05430292,0.5601615,-0.3066767,-0.061384417,-0.0078117037,0.28995335,1.1772097,0.3037519,1.3147354,0.46179727,0.06042554,-0.26285303,0.5392935,0.53538793,-0.9478613,-0.5701683,0.21296744,0.1475718,-0.43288416,-0.19968253,CKD
0.17961785,-0.10096718,-0.8278185,-0.34813073,-1.080392,0.14574051,-0.36536744,-0.9334268,-1.3086852,-0.18600163,-1.2302248,1.090848,1.3473121,-0.39276373,0.7454876,-1.0929888,-0.38888067,0.16135436,1.6117975,-0.25094014,0.2324134,1.1905117,0.7611541,-0.029296538,0.30736408,0.13185184,-0.5990027,0.57734954,0.1026537,0.9886574,-0.52600014,-1.6265142,CKD
-0.45564824,-2.297389,-0.28071094,-0.57265383,0.250078,-2.8585246,-0.066434614,2.2317233,-0.9971281,-1.2347773,0.3811685,0.8917851,0.8953783,-0.18916862,-0.4864777,-1.338492,1.5732244,1.4378564,2.3010888,2.1594908,0.9918822,1.107765,0.55161184,0.09462556,-0.5837579,-0.6031636,0.38192502,0.6996181,-2.947536,1.8101505,0.86095756,-1.2261964,Normal
0.8599983,-0.4725508,-0.48059455,-0.5459521,0.08349793,-0.29262736,0.83858633,0.4675623,-0.03337507,-0.6832793,0.3658074,0.80735755,-0.15079932,0.077094324,-0.019385636,-0.9648767,0.5541271,-0.32033783,1.4127179,0.6658839,1.3561083,1.195338,0.4476471,0.7384134,-0.09143578,-0.20252597,0.7593918,-0.8953284,-0.99023056,1.0821203,-0.46761551,0.25474286,CKD
