gene,mean_expr_AKI,mean_expr_CKD,mean_expr_Normal
PET100,0.7641676664352417,0.8984969854354858,1.263933539390564
RPS3A,8.58056354522705,7.847440242767334,11.66282844543457
ATP5F1E,5.803757190704346,4.265869140625,4.935818672180176
TRIR,0.8760483264923096,0.6565892100334167,0.6958825588226318
SNX3,1.0789740085601807,1.05575430393219,1.3332599401474
MZT2B,1.5882190465927124,1.3237253427505493,1.9001154899597168
RPL14,5.857241153717041,5.093008995056152,7.52229118347168
MSN,0.6448259353637695,0.4647202789783478,0.6091331839561462
HSPE1,2.2373597621917725,2.032503366470337,4.398139476776123
TSPAN1,1.7984907627105713,1.249013900756836,0.5995776653289795
RPS11,2.413706064224243,2.2141833305358887,3.371548891067505
SNHG8,0.6940889358520508,0.8281797766685486,1.4008210897445679
TBCA,1.2071969509124756,1.167511224746704,1.8055347204208374
ZFAS1,0.8706392049789429,0.781693696975708,0.9728767275810242
METTL26,0.4669341444969177,0.2823532819747925,0.30290037393569946
SARAF,0.8254239559173584,0.7383996248245239,0.6822614073753357
HP1BP3,0.5312402248382568,0.5706914067268372,0.7211179733276367
GNG5,1.755966305732727,1.5036214590072632,2.229252338409424
JUND,1.7735964059829712,1.9127308130264282,5.381816864013672
ACADVL,1.0203595161437988,1.006568431854248,1.1568971872329712
CD59,1.528032660484314,1.6564475297927856,1.7598999738693237
MIF,2.020570755004883,3.1456103324890137,3.466111898422241
TMSB4X,14.235857009887695,10.159806251525879,10.677656173706055
GSTK1,0.9758743643760681,0.8411405086517334,1.0564459562301636
RPL36A,1.1408586502075195,1.5788724422454834,1.6366779804229736
FXYD2,8.798822402954102,16.97783088684082,21.450855255126953
VPS28,1.004578948020935,0.9664586782455444,1.2661281824111938
TIMP1,1.6706054210662842,0.8906753063201904,0.41809365153312683
RPL22,3.7006442546844482,3.468322515487671,5.400361061096191
DYNLT1,0.9665543437004089,0.8645728826522827,1.3283790349960327
IL32,1.934537410736084,0.7777369618415833,0.6165240406990051
FKBP1A,0.9087844491004944,0.7023478746414185,0.9662196636199951
HLA-A,2.818971633911133,2.780693769454956,2.7806568145751953
TMED2,0.6044450402259827,0.57355797290802,0.5011414289474487
STAT1,0.42944854497909546,0.2987440824508667,0.18047656118869781
DYNLL1,2.443352699279785,2.2902722358703613,3.4300196170806885
DDX17,1.637019395828247,1.817053198814392,2.002378225326538
SON,0.7980259656906128,0.8840197920799255,1.3833870887756348
SAT1,3.8793320655822754,2.7648446559906006,4.579935550689697
HSP90AB1,1.5209112167358398,1.7286349534988403,3.029425859451294
RPL17,0.7121160626411438,1.6573110818862915,0.6376132965087891
RPS21,5.169184684753418,5.311312675476074,6.59110164642334
