gene,class,importance,variance,variance_rank,n_cells_used,importance_rank
KTN1,CKD,0.007999305,2.8698627939818624,724,300,314
H3F3A,CKD,0.0079929335,25.823121262389805,216,300,315
MPC1,CKD,0.007985031,8.794794464460683,400,300,316
MOB1A,CKD,0.007970324,0.7469991343930145,1698,300,317
PLAU,CKD,0.007950344,2.592266785361181,773,300,318
C11orf58,CKD,0.007941088,1.4856922493050893,1091,300,319
CCDC85B,CKD,0.007917096,0.6463954539086931,1892,300,320
MECOM,CKD,0.007911391,1.420363579488366,1119,300,321
USMG5,CKD,0.007899611,13.095676140592072,311,300,322
KLF6,CKD,0.007891771,7.764764997495945,423,300,323
SLC2A4RG,CKD,0.007886126,0.7623914567912685,1677,300,324
GSTM3,CKD,0.007860337,12.248085457536398,326,300,325
TLE5,CKD,0.0078541,0.4307170330079666,2546,300,326
RHOA,CKD,0.0078400625,2.920658968689702,715,300,327
RPL36,CKD,0.0078090723,124.25129974171527,89,300,328
RPS13,CKD,0.0077980114,134.5799379166561,80,300,329
HSPB1,CKD,0.0077588162,35.67953135387101,176,300,330
NDUFB2,CKD,0.0077393367,26.659575168754316,213,300,331
CD63,CKD,0.0077390033,38.12166441563539,173,300,332
MYL12A,CKD,0.0077319373,10.543943376108952,360,300,333
BTF3,CKD,0.007728812,11.51612804982517,341,300,334
MINOS1,CKD,0.007717768,12.764506703944186,314,300,335
TPM1,CKD,0.007717116,13.901745179571972,300,300,336
RPS11,CKD,0.007698392,9.603698437266331,386,300,337
SLC3A2,CKD,0.0076902746,1.4495755584915213,1105,300,338
ATP6V0B,CKD,0.0076725245,33.123091449590504,185,300,339
TNFSF10,CKD,0.0076560928,6.466404023884256,464,300,340
FAM213A,CKD,0.007635042,0.9234602216939981,1467,300,341
TKT,CKD,0.0076152016,0.794979125491181,1630,300,342
RGS5,CKD,0.0075995233,19.314147421769857,251,300,343
COX7C,CKD,0.0075880885,107.79834568673067,94,300,344
FUS,CKD,0.007560611,0.9573678834488375,1425,300,345
PPIB,CKD,0.00755876,5.325920778223576,511,300,346
MOCS2,CKD,0.0075559784,1.6381177538229768,1020,300,347
RPL13A,CKD,0.007542174,8.401324759326567,410,300,348
ERP29,CKD,0.007502746,2.7108215978795744,752,300,349
FAM107B,CKD,0.0074984017,2.395739903979503,813,300,350
ITGB1,CKD,0.007486919,4.454410724590932,568,300,351
TMBIM4,CKD,0.007485916,2.7445942686464413,745,300,352
TCEAL8,CKD,0.0074703265,0.6559520611908936,1868,300,353
C19orf70,CKD,0.0074624866,4.815824875953563,538,300,354
LGALS2,CKD,0.0074415184,4.144867979807008,592,300,355
MICOS10,CKD,0.0074097076,1.6278985468075156,1027,300,356
PRCP,CKD,0.0074095004,0.7694796265817699,1668,300,357
