gene,class,importance,variance,variance_rank,n_cells_used,importance_rank
ALDH1L1,Normal,0.014902639,0.5542844532456339,2115,300,401
CD46,Normal,0.014901754,2.3553035787367627,819,300,402
SMIM19,Normal,0.014871984,0.7009478066071274,1784,300,403
SAT1,Normal,0.014822696,50.63968207832483,145,300,404
MME,Normal,0.014813104,2.131224887815658,867,300,405
UFM1,Normal,0.014799896,0.636867846526229,1909,300,406
ACAT1,Normal,0.014782624,3.215768854894364,679,300,407
UQCRH,Normal,0.014761666,29.548160950427956,197,300,408
PPIC,Normal,0.014715204,0.9408469821636385,1449,300,409
RPS3,Normal,0.014676139,102.69293829972955,99,300,410
SUB1,Normal,0.014628442,9.42884889467016,390,300,411
TMEM160,Normal,0.014541927,1.2796654582986076,1199,300,412
HSP90AA1,Normal,0.014532517,45.63364547855531,154,300,413
MZT2B,Normal,0.014531134,4.834322119879909,537,300,414
SMIM5,Normal,0.014500586,2.370808969967529,817,300,415
GRASP,Normal,0.014452442,0.3696675719263129,2830,300,416
VPS28,Normal,0.014427719,2.4962653752114976,795,300,417
PPP1R10,Normal,0.014387619,0.4828667509253611,2328,300,418
USP22,Normal,0.014366465,0.4595500019453491,2422,300,419
DPM3,Normal,0.014359501,2.2140758006902743,847,300,420
MT1X,Normal,0.014328125,124.53078344870288,87,300,421
GLRX,Normal,0.01427314,2.692570710109142,754,300,422
CPM,Normal,0.014239833,0.9338056039120672,1456,300,423
GNG5,Normal,0.014229479,7.17338583872924,442,300,424
HMGN3,Normal,0.014224734,7.734881876634243,424,300,425
CALB1,Normal,0.014212627,168.60634573287408,67,300,426
DUSP2,Normal,0.014167799,0.5981290559106749,2011,300,427
MIEN1,Normal,0.014145522,1.19897158307535,1246,300,428
ISCU,Normal,0.0140963,5.7401236647351075,490,300,429
RPLP0,Normal,0.014085529,12.694511935906146,315,300,430
SPINT2,Normal,0.014082559,8.948886784716105,399,300,431
RPL35A,Normal,0.014061583,81.79792419603065,109,300,432
PABPC1,Normal,0.014036298,1.9047761131152194,928,300,433
TFCP2L1,Normal,0.013981646,1.6191710472602114,1030,300,434
ZNF593,Normal,0.013954865,0.9051815880397192,1485,300,435
ADIRF,Normal,0.013950829,74.86491412167612,122,300,436
BTF3,Normal,0.013946492,11.51612804982517,341,300,437
