cell_type,class,gene,combined_score,importance,target_minus_others_mean,abs_target_minus_others_mean,mean_expr_AKI,mean_expr_CKD,mean_expr_Ref
DCT,AKI,LGALS3BP,0.03138475370038962,0.05341709,0.5875414311885834,0.5875414311885834,1.1473838,0.3986308,0.72105396
DCT,AKI,EMX2OS,0.031382011676343025,0.059004437,0.531858503818512,0.531858503818512,0.8913818,0.3018243,0.4172223
DCT,AKI,PAXX,0.03115603981145021,0.06686445,0.4659581929445267,0.4659581929445267,0.63431245,0.16964276,0.16706575
DCT,AKI,RPS3,0.031080078549121648,0.023755347,1.308340311050415,1.308340311050415,6.710015,3.132155,7.671194
DCT,AKI,CD63,0.031078005887091642,0.01648176,1.8855998516082764,1.8855998516082764,5.673293,2.7670655,4.808321
DCT,AKI,RPS29,0.030988146773227143,0.050910875,0.6086744070053101,0.6086744070053101,5.456272,2.9488595,6.746336
DCT,AKI,RHCG,0.03098292558227378,0.03687015,-0.8403254151344299,0.8403254151344299,1.206566,1.1525649,2.941218
DCT,AKI,DSTN,0.030804100358530206,0.019992799,1.540759801864624,1.540759801864624,5.8570633,2.833025,5.799582
DCT,AKI,ATPIF1,0.030543716995988235,0.01745975,-1.7493788106366992,1.7493788106366992,0.008401801,0.76351416,2.752047
DCT,AKI,MMP24-AS1,0.030166202755312024,0.024022812,-1.2557315407320857,1.2557315407320857,0.004840535,0.57482994,1.9463142
DCT,AKI,PPIB,0.029986090489273476,0.035623793,0.8417433500289917,0.8417433500289917,2.0105312,0.93308115,1.4044945
DCT,AKI,ATP6V1B1,0.029710390527920794,0.034526333,-0.8605139255523682,0.8605139255523682,0.45131418,0.6766079,1.9470483
DCT,AKI,RPS28,0.0294963386437761,0.03688323,-0.7997221946716309,0.7997221946716309,13.627996,7.5214205,21.334017
DCT,AKI,MT1E,0.029400136206335636,0.030220235,0.9728626012802124,0.9728626012802124,3.2447884,1.636903,2.9069486
DCT,AKI,ATP5ME,0.029030175431640326,0.011746803,2.4713255763053894,2.4713255763053894,5.248907,1.7201518,3.8350112
DCT,AKI,ACADVL,0.029019386857894958,0.039327607,0.7378884553909302,0.7378884553909302,1.8457501,0.84938395,1.3663393
DCT,AKI,ADIRF,0.02891724999951828,0.04556872,-0.6345855295658112,0.6345855295658112,0.48512715,0.66789216,1.5715332
DCT,AKI,ATP5PF,0.028330893645686694,0.008380069,3.380746901035309,3.380746901035309,6.0434823,1.7518371,3.5736337
DCT,AKI,SNU13,0.028199887740976703,0.028296122,0.996599018573761,0.996599018573761,1.5822184,0.4009403,0.7702985
DCT,AKI,MMP24OS,0.02802822749726347,0.028566802,0.9811468422412872,0.9811468422412872,2.2024913,0.78892857,1.6537603
DCT,AKI,TMEM59,0.02798232835924952,0.025802152,1.0844959020614624,1.0844959020614624,4.628077,2.6287882,4.458374
DCT,AKI,NDUFAB1,0.027928579938787168,0.051373843,-0.5436342358589172,0.5436342358589172,1.6983168,1.0666972,3.4172049
DCT,AKI,HOXD8,0.02750966886503048,0.04688691,0.5867238640785217,0.5867238640785217,3.0520232,1.5600709,3.3705277
DCT,AKI,ATP5MPL,0.027418201452385438,0.014442644,1.8984197974205017,1.8984197974205017,3.4664173,1.1540077,1.9819874
DCT,AKI,RPL18,0.027182794566356527,0.020290727,1.3396658897399902,1.3396658897399902,6.5639668,3.1497693,7.2988324
DCT,AKI,SELENOF,0.027048075546101114,0.03919711,0.6900528073310852,0.6900528073310852,0.99346465,0.3329526,0.2738711
DCT,AKI,PATJ,0.027030001087587074,0.07776248,0.3475969657301903,0.3475969657301903,0.51805025,0.19054049,0.15036608
DCT,AKI,CXCL14,0.02702765050403011,0.047192212,0.5727142095565796,0.5727142095565796,1.7950249,1.232542,1.2120793
DCT,AKI,ATP5F1C,0.02683771192655726,0.018431202,1.4561021327972412,1.4561021327972412,2.602666,0.79903436,1.4940932
DCT,AKI,CA12,0.02680646339929904,0.017802155,-1.5057988166809082,1.5057988166809082,5.454287,4.442787,9.477385
DCT,AKI,CBR1,0.02663349835106832,0.060199827,0.4424181878566742,0.4424181878566742,1.1684077,0.5390557,0.9129233
DCT,AKI,ATP5IF1,0.026510189134907547,0.012265066,2.161438822746277,2.161438822746277,3.6420724,1.1123011,1.8489661
DCT,AKI,H3F3A,0.026433949935109613,0.020993855,1.2591279745101929,1.2591279745101929,4.812657,2.36528,4.741778
DCT,AKI,CD74,0.02594500275013556,0.027874315,0.9307852983474731,0.9307852983474731,1.5714532,0.6504074,0.63092846
DCT,AKI,HIPK2,0.02574199032631186,0.046856806,0.5493756979703903,0.5493756979703903,1.2784595,0.4816589,0.9765088
DCT,AKI,METTL26,0.02533413970514528,0.056321245,0.44981498271226883,0.44981498271226883,0.69142437,0.19853933,0.28467944
DCT,AKI,COPS9,0.025313872783908953,0.02534444,0.99879390001297,0.99879390001297,1.8238599,0.59190285,1.0582292
DCT,AKI,SPINT2,0.025280476274490482,0.02281385,1.1081197261810303,1.1081197261810303,2.9861698,1.3244097,2.4316905
DCT,AKI,RPL34,0.025201163006709493,0.028230883,0.8926806449890137,0.8926806449890137,10.80517,5.4149847,14.409994
DCT,AKI,YBX1,0.02516779262305313,0.040624395,0.6195241212844849,0.6195241212844849,2.5242167,1.1670718,2.6423132
